,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
47,1,2.0,15.0,44,3180,obj2end,ESACC,15.0,465.844791749355,81.85316120957086,64.21347210671613,525.1246899546812,616.7101182889738,989.2198643375497,study,True,False,3138,obj1start,3.0,409,3,1380.0,1100.0,540.0,1155.9,1447.5,650.0,210.0,210.0,241.6,603.7
48,1,2.0,15.0,160,3340,,EFIX,15.0,,504.8977817340853,,44.56197930972088,,604.1339007206928,study,True,False,3182,obj2start,3.0,409,3,1380.0,1100.0,540.0,,1144.1,650.0,210.0,210.0,,203.6
49,1,2.0,15.0,24,3364,obj2end,ESACC,15.0,620.5757085158909,515.3750090953189,101.04558377286963,37.032418230517884,493.80381732019845,594.7465006202222,study,True,False,3342,obj2start,3.0,409,3,1380.0,1100.0,540.0,1028.6,1134.6,650.0,210.0,210.0,138.5,196.8
50,1,2.0,15.0,350,3714,,EFIX,15.0,,649.29008925133,,132.76151550807182,,465.9373563044715,study,True,False,3366,obj2start,3.0,409,3,1380.0,1100.0,540.0,,998.1,650.0,210.0,210.0,,124.9
51,1,2.0,15.0,46,3760,obj3end,ESACC,15.0,1100.747854869588,651.0773302765195,675.2050355262467,134.72078533025262,164.13969660018262,464.3335977505827,study,True,False,3716,obj2start,3.0,409,3,1380.0,1100.0,540.0,437.0,996.3,650.0,210.0,210.0,82.2,124.0
52,1,2.0,15.0,256,4016,,EFIX,15.0,,1114.6827755016222,,694.7328191470444,,172.08628649604825,study,True,False,3762,obj3start,3.0,409,3,1380.0,1100.0,540.0,,415.5,650.0,210.0,210.0,,91.2
53,1,2.0,6.0,268,270,,EFIX,6.0,,406.76166240195255,,748.726285100236,,796.9485867984208,study,False,False,4,screen,4.0,409,4,540.0,1660.0,1660.0,,923.6,650.0,650.0,210.0,,514.7
54,1,2.0,6.0,36,306,obj1end,ESACC,6.0,92.08392910817822,406.5344511846444,1199.3729403317386,748.7524691111208,1260.790010271338,797.1939914475021,study,False,False,272,screen,4.0,409,4,540.0,1660.0,1660.0,461.6,923.5,650.0,650.0,210.0,601.7,515.1
55,1,2.0,6.0,162,468,,EFIX,6.0,,122.42160756990577,,1233.0819315844344,,1292.592375809172,study,False,False,308,obj1start,4.0,409,4,540.0,1660.0,1660.0,,427.9,650.0,650.0,210.0,,600.8
56,1,2.0,6.0,14,482,screen,ESACC,6.0,184.17388522806377,145.2697146689564,1294.6289120825318,1253.7365313334376,1346.9640010037388,1308.6845647443083,study,False,False,470,obj1start,4.0,409,4,540.0,1660.0,1660.0,366.9,407.7,650.0,650.0,210.0,587.1,590.0
57,1,2.0,6.0,374,856,,EFIX,6.0,,193.05866983898957,,1304.7941025311236,,1357.5800713033468,study,False,False,484,screen,4.0,409,4,540.0,1660.0,1660.0,,356.6,650.0,650.0,210.0,,589.7
