SUBID,PIC,CONDITION,B_BT1 dist,B_R dist,BT1_R dist,B_BT2 dist,BT1_BT2 dist,BT2_R dist,ErrorD1-3,ErrorD2-3,ErrorD1-2,T1bias-accuracy,T2bias-accuracy,B_pract,280pix,Day1mem_RR,Day2mem_RR,Day3mem_RR,ConSuccess_RR,Day-3R,RC Day1mem,Day-2T1,Day-3T1,NR Day1mem,t1biasdiff_RR,t2biasdiff_RR,r order,t2worset3,ridworset3
401,83,2,49.0408,0,0,288.4666,277.4167,0,239.4258,0,0,-11.04998,0,7,1,0,0,0,0,0,6,0,0,0,0,0,88,0,0
401,56,2,53.03772,0,0,76.57676,95.7549,0,23.53904,0,0,19.17814,0,2,1,0,0,0,0,0,6,0,0,0,0,0,55,0,0
401,100,2,61.39218,0,0,51.97115,46.69047,0,-9.421036,0,0,-5.280676,0,5,1,0,0,0,0,0,6,0,0,0,0,0,21,0,0
401,160,2,70.3278,0,0,380.48,401.5134,0,310.1522,0,0,21.03343,0,2,1,0,0,0,0,0,6,0,0,0,0,0,146,0,0
401,9,2,77.66595,0,0,48.27007,109.0413,0,-29.39588,0,0,60.7712,0,3,1,0,0,0,0,0,6,0,0,0,0,0,143,0,0
401,146,2,81.63333,0,0,68.18358,47.04253,0,-13.44975,0,0,-21.14104,0,3,1,0,0,0,0,0,6,0,0,0,0,0,66,0,0
401,97,2,92.63369,0,0,242.5531,171.2921,0,149.9194,0,0,-71.26094,0,5,1,0,0,0,0,0,6,0,0,0,0,0,125,0,0
401,105,2,97.26767,0,0,265.0679,206.8671,0,167.8002,0,0,-58.20081,0,5,1,0,0,0,0,0,0,0,0,0,0,0,127,0,0
401,112,2,111.4002,0,0,19.10497,94.72592,0,-92.29521,0,0,75.62095,0,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0
401,180,2,119.4069,0,0,160.9006,64.07027,0,41.49372,0,0,-96.83032,0,4,1,0,0,0,0,0,0,0,0,0,0,0,128,0,0
401,75,2,144.5856,0,0,535.9002,598.2057,0,391.3146,0,0,62.30547,0,2,1,0,0,0,0,0,0,0,0,0,0,0,114,0,0
401,145,2,161.4745,0,0,240.7094,372.5869,0,79.23491,0,0,131.8775,0,3,1,0,0,0,0,0,0,0,0,0,0,0,137,0,0
401,154,2,171.0585,0,0,165.9397,72.09022,0,-5.118721,0,0,-93.84953,0,5,1,0,0,0,0,0,0,0,0,0,0,0,140,0,0
401,13,2,213.3378,0,0,206.9807,261.8167,0,-6.357085,0,0,54.83605,0,7,1,0,0,0,0,0,0,0,0,0,0,0,135,0,0
