,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,recog+manip_accuracy,recog+manip+loc_accuracy,dom_all_accuracy
84,1,1.0,1,50,3648,manip_objend,ESACC,True,115.31565375091104,262.7680536138287,325.0,197.0,315.4737707005132,60.09201278040198,535.0,197.0,study,True,True,3600,other_objstart,3.0,920,705.7943751546904,479.3110159385032,745.0,617.0,3.0,3,224.7,585.8,140.1,164.9,True,True,True
85,1,1.0,1,154,3802,,EFIX,True,,116.79212302206001,325.0,197.0,,317.54117843202636,535.0,197.0,study,True,True,3650,manip_objstart,3.0,920,,706.750592500636,745.0,617.0,3.0,3,,222.4,,141.2,True,True,True
86,1,1.0,1,30,3832,screen,ESACC,True,239.24685995849558,116.28090986916123,325.0,197.0,444.19484463464903,317.948502119447,535.0,197.0,study,True,True,3804,manip_objstart,3.0,920,813.3480558776789,705.5361436524709,745.0,617.0,3.0,3,96.5,221.5,126.1,144.0,True,True,True
87,1,1.0,1,180,4012,,EFIX,True,,242.0925649415942,325.0,197.0,,447.19213991303565,535.0,197.0,study,True,True,3834,screen,3.0,920,,815.5812712415606,745.0,617.0,3.0,3,,93.4,,126.5,True,True,True
88,1,1.0,0,184,186,,EFIX,True,,454.3545091665758,115.0,407.0,,470.74411308055676,115.0,617.0,study,True,False,4,screen,4.0,920,,415.58635685017373,955.0,617.0,9.0,4,,564.1,,475.9,True,False,False
89,1,1.0,0,44,230,test_objend,ESACC,True,753.0508614960878,455.4003513393462,115.0,407.0,738.8055224482285,470.7286691927739,115.0,617.0,study,True,False,188,screen,4.0,920,116.6601902964332,414.1515181669627,955.0,617.0,9.0,4,851.8,564.8,562.6,478.2,True,False,False
90,1,1.0,0,86,316,,EFIX,True,,739.7644219614782,115.0,407.0,,725.7791675158498,115.0,617.0,study,True,False,232,test_objstart,4.0,920,,129.25710812175862,955.0,617.0,9.0,4,,838.6,,560.8,True,False,False
91,1,1.0,0,60,376,manip_objend,ESACC,True,47.48526087113769,739.6308944331626,115.0,407.0,230.65309449474117,725.150922222402,115.0,617.0,study,True,False,318,test_objstart,4.0,920,913.0875368769415,128.9800759807498,955.0,617.0,9.0,4,70.4,838.1,390.7,562.5,True,False,False
92,1,1.0,0,174,550,,EFIX,True,,53.95739059665505,115.0,407.0,,241.73415149705264,115.0,617.0,study,True,False,378,manip_objstart,4.0,920,,917.781782342622,955.0,617.0,9.0,4,,68.4,,379.8,True,False,False
93,1,1.0,0,22,572,manip_objend,ESACC,True,79.10025284409652,56.36452785218732,115.0,407.0,288.44557545575213,246.40811674942853,115.0,617.0,study,True,False,552,manip_objstart,4.0,920,899.3291110600168,918.8410961640756,955.0,617.0,9.0,4,103.1,68.6,328.8,375.0,True,False,False
94,1,1.0,0,344,916,,EFIX,True,,76.04748516552011,115.0,407.0,,284.6141598726248,115.0,617.0,study,True,False,574,manip_objstart,4.0,920,,902.9580388921736,955.0,617.0,9.0,4,,97.9,,332.9,True,False,False
95,1,1.0,0,32,948,other_objend,ESACC,True,123.34771988164194,74.75433097821156,115.0,407.0,89.6251080891956,283.45759824001897,115.0,617.0,study,True,False,918,manip_objstart,4.0,920,861.9934222486852,901.6630246383623,955.0,617.0,9.0,4,97.5,98.9,529.1,334.0,True,False,False
96,1,1.0,0,192,1140,,EFIX,True,,124.27976504644673,115.0,407.0,,87.60970265900917,115.0,617.0,study,True,False,950,other_objstart,4.0,920,,858.270039090262,955.0,617.0,9.0,4,,101.1,,530.5,True,False,False
97,1,1.0,0,10,1150,other_objend,ESACC,True,120.93093070013147,122.66115929665753,115.0,407.0,90.07935390532062,87.96453830948016,115.0,617.0,study,True,False,1142,other_objstart,4.0,920,834.6126586626876,852.51261574243,955.0,617.0,9.0,4,125.2,107.0,527.5,529.4,True,False,False
98,1,1.0,0,314,1464,,EFIX,True,,120.93903422799444,115.0,407.0,,89.62282075453768,115.0,617.0,study,True,False,1152,other_objstart,4.0,920,,837.1763553756161,955.0,617.0,9.0,4,,122.6,,527.7,True,False,False
99,1,1.0,0,72,1536,test_objend,ESACC,True,878.7224931683495,119.21786778834792,115.0,407.0,861.8069505405489,91.05437935651418,115.0,617.0,study,True,False,1466,other_objstart,4.0,920,40.78259432650159,839.6349802146168,955.0,617.0,9.0,4,976.1,120.3,582.1,526.1,True,False,False
100,1,1.0,0,228,1764,,EFIX,True,,882.124940130365,115.0,407.0,,864.5960964519792,115.0,617.0,study,True,False,1538,test_objstart,4.0,920,,40.0800449101545,955.0,617.0,9.0,4,,979.0,,584.9,True,False,False
101,1,1.0,0,18,1782,test_objend,ESACC,True,836.5165031247142,882.7630769351423,115.0,407.0,816.9833902840376,864.8344639293695,115.0,617.0,study,True,False,1766,test_objstart,4.0,920,36.63140728937398,38.9185045961429,955.0,617.0,9.0,4,931.5,979.3,588.9,586.6,True,False,False
102,1,1.0,0,154,1936,,EFIX,True,,830.6270221946792,115.0,407.0,,811.5733176984073,115.0,617.0,study,True,False,1784,test_objstart,4.0,920,,42.08622102303793,955.0,617.0,9.0,4,,926.0,,586.5,True,False,False
103,1,1.0,0,190,2126,test_objend,ESACC,True,833.1706247822232,824.6079310799769,115.0,407.0,814.640589462617,804.4465426614748,115.0,617.0,study,True,False,1938,test_objstart,4.0,920,41.46432201302702,44.88028520408485,955.0,617.0,9.0,4,929.0,919.0,584.7,590.2,True,False,False
104,1,1.0,0,338,2464,,EFIX,True,,836.4502435889418,115.0,407.0,,818.0458483483674,115.0,617.0,study,True,False,2128,test_objstart,4.0,920,,39.585477134929185,955.0,617.0,9.0,4,,932.4,,584.5,True,False,False
