Subj,RT,response code,affect,up/in,old/new
166,2424,2,l,in,2
166,1148,1,l,in,2
166,1070,1,l,in,2
166,1009,2,l,in,2
166,3079,2,l,in,2
166,955,1,l,in,2
166,1680,1,l,in,2
166,862,2,l,in,2
166,957,2,s,in,1
166,2701,1,s,in,1
166,2074,2,s,in,1
166,2860,1,s,in,1
166,3096,1,s,in,1
166,731,1,s,in,1
166,2435,1,s,in,1
166,2487,2,s,in,1
166,2911,1,h,up,1
166,951,1,h,up,1
166,784,2,h,up,1
166,1296,1,h,up,1
166,996,2,h,up,1
166,669,1,h,up,1
166,3505,1,h,up,1
166,1817,1,h,up,1
166,1358,1,l,up,2
166,1647,1,l,up,2
166,919,1,l,up,2
166,3944,1,l,up,2
166,777,2,l,up,2
166,3155,2,l,up,2
166,2122,2,l,up,2
166,2386,1,l,up,2
166,1457,2,l,up,2
166,3094,1,l,up,2
166,1126,2,l,up,2
166,1907,2,l,up,2
166,1498,2,l,up,2
166,1437,2,l,up,2
166,955,2,l,up,2
166,3684,1,l,up,2
166,3512,2,s,up,1
166,1948,2,s,up,1
166,1015,2,s,up,1
166,3341,2,s,up,1
166,1097,1,s,up,1
166,1115,1,s,up,1
166,973,1,s,up,1
166,2722,2,s,up,1
177,3135,1,h,in,1
177,779,1,h,in,1
177,2833,1,h,in,1
177,924,1,h,in,1
177,1578,2,h,in,1
177,2758,1,h,in,1
177,2429,1,h,in,1
177,1966,1,h,in,1
177,786,1,l,in,2
177,1767,2,l,in,2
177,1342,2,l,in,2
177,2042,2,l,in,2
177,2819,2,l,in,2
177,3062,1,l,in,2
177,911,2,l,in,2
177,2331,1,l,in,2
177,1919,2,l,in,2
177,1220,1,l,in,2
177,1837,2,l,in,2
177,893,1,l,in,2
177,2002,1,l,in,2
177,1738,2,l,in,2
177,989,1,l,in,2
177,960,2,l,in,2
177,2578,1,s,in,1
177,786,1,s,in,1
177,1489,1,s,in,1
177,1358,1,s,in,1
177,1070,1,s,in,1
177,939,2,s,in,1
177,1234,1,s,in,1
177,1119,2,s,in,1
177,2243,1,h,up,1
177,3826,2,h,up,1
177,770,1,h,up,1
177,1514,2,h,up,1
177,716,1,h,up,1
177,2071,1,h,up,1
177,800,1,h,up,1
177,2211,2,h,up,1
177,4671,2,l,up,2
177,1554,2,l,up,2
177,1068,1,l,up,2
177,3693,1,l,up,2
177,1931,1,l,up,2
177,3485,2,l,up,2
177,1091,1,l,up,2
177,796,2,l,up,2
177,1585,2,l,up,2
177,1291,2,l,up,2
177,1265,1,l,up,2
177,1746,2,l,up,2
177,1953,1,l,up,2
177,4404,1,l,up,2
177,1669,2,l,up,2
177,1385,1,l,up,2
177,997,2,s,up,1
177,1496,1,s,up,1
177,2289,1,s,up,1
177,1025,1,s,up,1
177,1542,1,s,up,1
177,1063,1,s,up,1
177,1514,1,s,up,1
177,998,1,s,up,1
179,1004,1,h,in,1
179,1332,2,h,in,1
179,1094,1,h,in,1
179,2207,1,h,in,1
179,2697,2,h,in,1
179,1739,2,h,in,1
179,1026,1,h,in,1
179,2090,2,h,in,1
179,2710,1,l,in,2
179,1064,2,l,in,2
179,1741,1,l,in,2
179,1458,2,l,in,2
179,2394,1,l,in,2
179,1322,2,l,in,2
179,2473,1,l,in,2
179,696,2,l,in,2
179,1233,2,l,in,2
179,1624,2,l,in,2
179,2738,2,l,in,2
179,708,2,l,in,2
179,1009,2,l,in,2
179,1047,1,l,in,2
179,2439,2,l,in,2
179,864,2,l,in,2
179,3844,2,s,in,1
179,1831,2,s,in,1
179,1033,1,s,in,1
179,1746,2,s,in,1
179,1039,2,s,in,1
179,695,1,s,in,1
179,1887,1,s,in,1
179,930,2,s,in,1
179,2647,1,h,up,1
179,2329,1,h,up,1
179,1589,1,h,up,1
179,1241,2,h,up,1
179,2527,1,h,up,1
179,2397,1,h,up,1
179,2079,1,h,up,1
179,1499,2,h,up,1
179,3581,2,l,up,2
179,2338,1,l,up,2
179,1539,2,l,up,2
179,954,2,l,up,2
179,858,2,l,up,2
179,2375,2,l,up,2
179,1278,1,l,up,2
179,969,2,l,up,2
179,1296,2,l,up,2
179,1073,1,l,up,2
179,1443,2,l,up,2
179,652,2,l,up,2
179,1181,1,l,up,2
179,591,2,l,up,2
179,1242,2,l,up,2
179,854,1,l,up,2
179,828,1,s,up,1
179,3703,1,s,up,1
179,1083,2,s,up,1
179,792,1,s,up,1
179,7295,1,s,up,1
179,2668,2,s,up,1
179,598,2,s,up,1
179,2088,1,s,up,1
183,831,2,h,in,1
183,843,1,h,in,1
183,617,2,h,in,1
183,4436,2,h,in,1
183,711,1,h,in,1
183,4309,2,h,in,1
183,1254,1,h,in,1
183,2785,1,h,in,1
183,1592,2,l,in,2
183,3093,1,l,in,2
183,766,2,l,in,2
183,1687,2,l,in,2
183,1115,1,l,in,2
183,3447,1,l,in,2
183,1361,1,l,in,2
183,3509,2,l,in,2
183,988,1,l,in,2
183,1248,1,l,in,2
183,772,1,l,in,2
183,777,2,l,in,2
183,882,2,l,in,2
183,675,1,l,in,2
183,1118,1,l,in,2
183,787,1,l,in,2
183,1454,1,s,in,1
183,1116,1,s,in,1
183,2224,2,s,in,1
183,1059,1,s,in,1
183,1865,1,s,in,1
183,1628,2,s,in,1
183,1031,1,s,in,1
183,1865,2,s,in,1
183,787,1,h,up,1
183,2429,1,h,up,1
183,1377,1,h,up,1
183,1039,1,h,up,1
183,1082,1,h,up,1
183,1096,1,h,up,1
183,685,1,h,up,1
183,4393,1,h,up,1
183,1479,1,l,up,2
183,831,2,l,up,2
183,614,2,l,up,2
183,1238,2,l,up,2
183,1242,2,l,up,2
183,2114,2,l,up,2
183,997,2,l,up,2
183,629,2,l,up,2
183,552,2,l,up,2
183,1105,1,l,up,2
183,4486,1,l,up,2
183,705,1,l,up,2
183,1115,2,l,up,2
183,1213,2,l,up,2
183,687,2,l,up,2
183,591,2,l,up,2
183,1110,1,s,up,1
183,825,1,s,up,1
183,1592,1,s,up,1
183,2494,1,s,up,1
183,1464,1,s,up,1
183,636,1,s,up,1
183,545,2,s,up,1
183,1083,2,s,up,1
189,1379,1,h,in,1
189,1921,1,h,in,1
189,957,1,h,in,1
189,1003,1,h,in,1
189,1659,2,h,in,1
189,1247,2,h,in,1
189,3600,1,h,in,1
189,1006,2,h,in,1
189,3080,1,l,in,2
189,1605,2,l,in,2
189,608,1,l,in,2
189,1109,2,l,in,2
189,1393,2,l,in,2
189,1705,2,l,in,2
189,3282,2,l,in,2
189,599,1,l,in,2
189,451,1,l,in,2
189,1551,2,l,in,2
189,1064,1,l,in,2
189,3206,1,l,in,2
189,4810,2,l,in,2
189,2160,2,l,in,2
189,1722,1,l,in,2
189,1217,2,l,in,2
189,1082,2,s,in,1
189,2806,2,s,in,1
189,568,2,s,in,1
189,915,1,s,in,1
189,1659,2,s,in,1
189,1848,1,s,in,1
189,1681,1,s,in,1
189,592,1,s,in,1
189,650,1,h,up,1
189,700,1,h,up,1
189,1089,1,h,up,1
189,1051,1,h,up,1
189,734,1,h,up,1
189,689,1,h,up,1
189,1054,1,h,up,1
189,715,1,h,up,1
189,1159,2,l,up,2
189,744,2,l,up,2
189,1526,2,l,up,2
189,1818,2,l,up,2
189,998,2,l,up,2
189,2097,2,l,up,2
189,1022,2,l,up,2
189,2204,2,l,up,2
189,683,2,l,up,2
189,1055,2,l,up,2
189,659,2,l,up,2
189,2745,1,l,up,2
189,1487,2,l,up,2
189,1081,2,l,up,2
189,2686,2,l,up,2
189,1185,2,l,up,2
189,3497,1,s,up,1
189,623,2,s,up,1
189,2872,2,s,up,1
189,1226,2,s,up,1
189,1220,1,s,up,1
189,818,1,s,up,1
189,474,2,s,up,1
189,2249,2,s,up,1
190,3695,2,h,in,1
190,2705,1,h,in,1
190,873,1,h,in,1
190,1532,1,h,in,1
190,1946,1,h,in,1
190,1903,1,h,in,1
190,1704,2,h,in,1
190,2513,2,h,in,1
190,673,2,l,in,2
190,2336,2,l,in,2
190,862,2,l,in,2
190,3354,2,l,in,2
190,2425,2,l,in,2
190,3275,2,l,in,2
190,2432,2,l,in,2
190,1051,2,l,in,2
190,2107,1,l,in,2
190,1909,1,l,in,2
190,1137,2,l,in,2
190,2358,2,l,in,2
190,1543,2,l,in,2
190,2374,2,l,in,2
190,1272,2,l,in,2
190,2531,1,l,in,2
190,2151,1,s,in,1
190,2369,1,s,in,1
190,1850,1,s,in,1
190,1896,1,s,in,1
190,1075,2,s,in,1
190,3140,1,s,in,1
190,984,2,s,in,1
190,899,2,s,in,1
190,2905,2,h,up,1
190,2837,1,h,up,1
190,2132,1,h,up,1
190,2690,1,h,up,1
190,1134,1,h,up,1
190,1470,1,h,up,1
190,817,2,h,up,1
190,1482,1,h,up,1
190,4368,1,l,up,2
190,770,2,l,up,2
190,2270,2,l,up,2
190,2370,1,l,up,2
190,946,2,l,up,2
190,3280,1,l,up,2
190,918,1,l,up,2
190,2826,1,l,up,2
190,1813,1,l,up,2
190,1951,2,l,up,2
190,4001,1,l,up,2
190,3465,2,l,up,2
190,738,2,l,up,2
190,2273,1,l,up,2
190,1787,1,l,up,2
190,2321,1,l,up,2
190,2607,2,s,up,1
190,873,2,s,up,1
190,4281,1,s,up,1
190,3001,1,s,up,1
190,1504,1,s,up,1
190,2235,1,s,up,1
190,2522,2,s,up,1
190,2224,1,s,up,1
193,2141,1,h,in,1
193,802,1,h,in,1
193,545,1,h,in,1
193,1214,1,h,in,1
193,828,1,h,in,1
193,2189,2,h,in,1
193,528,1,h,in,1
193,4074,1,h,in,1
193,1918,1,l,in,2
193,689,1,l,in,2
193,993,2,l,in,2
193,1168,2,l,in,2
193,650,1,l,in,2
193,772,1,l,in,2
193,1025,1,l,in,2
193,491,1,l,in,2
193,383,1,l,in,2
193,818,1,l,in,2
193,458,1,l,in,2
193,475,1,l,in,2
193,1337,1,l,in,2
193,912,2,l,in,2
193,696,1,l,in,2
193,1159,2,l,in,2
193,729,1,s,in,1
193,570,1,s,in,1
193,1584,2,s,in,1
193,1433,1,s,in,1
193,2454,2,s,in,1
193,1484,2,s,in,1
193,428,1,s,in,1
193,1113,1,s,in,1
193,481,1,h,up,1
193,351,1,h,up,1
193,946,1,h,up,1
193,516,1,h,up,1
193,382,1,h,up,1
193,483,1,h,up,1
193,358,1,h,up,1
193,985,1,h,up,1
193,1612,2,l,up,2
193,772,2,l,up,2
193,416,1,l,up,2
193,492,1,l,up,2
193,353,1,l,up,2
193,461,1,l,up,2
193,656,1,l,up,2
193,538,2,l,up,2
193,472,2,l,up,2
193,1014,2,l,up,2
193,1495,2,l,up,2
193,426,1,l,up,2
193,956,2,l,up,2
193,618,1,l,up,2
193,678,2,l,up,2
193,683,2,l,up,2
193,897,1,s,up,1
193,591,1,s,up,1
193,458,1,s,up,1
193,463,1,s,up,1
193,712,2,s,up,1
193,499,1,s,up,1
193,581,1,s,up,1
193,1025,2,s,up,1
204,2215,1,h,in,1
204,6761,2,h,in,1
204,961,1,h,in,1
204,3695,2,h,in,1
204,3780,1,h,in,1
204,2973,1,h,in,1
204,1422,1,h,in,1
204,1212,1,h,in,1
204,1941,2,l,in,2
204,2209,2,l,in,2
204,1672,1,l,in,2
204,1760,1,l,in,2
204,1871,2,l,in,2
204,1167,2,l,in,2
204,2556,2,l,in,2
204,1963,2,l,in,2
204,770,1,l,in,2
204,848,2,l,in,2
204,1586,1,l,in,2
204,1588,2,l,in,2
204,1466,1,l,in,2
204,1033,1,l,in,2
204,2041,2,l,in,2
204,1519,2,l,in,2
204,1504,1,s,in,1
204,937,2,s,in,1
204,1675,1,s,in,1
204,2001,2,s,in,1
204,1155,1,s,in,1
204,4249,2,s,in,1
204,1563,2,s,in,1
204,1095,1,s,in,1
204,869,1,h,up,1
204,2202,1,h,up,1
204,1785,1,h,up,1
204,865,1,h,up,1
204,2357,1,h,up,1
204,1597,1,h,up,1
204,1826,1,h,up,1
204,777,1,h,up,1
204,1677,1,l,up,2
204,1309,2,l,up,2
204,1169,2,l,up,2
204,1405,2,l,up,2
204,1352,1,l,up,2
204,1081,1,l,up,2
204,1660,2,l,up,2
204,890,1,l,up,2
204,3151,2,l,up,2
204,1513,1,l,up,2
204,1148,1,l,up,2
204,759,2,l,up,2
204,1037,2,l,up,2
204,1118,2,l,up,2
204,2338,2,l,up,2
204,1367,1,l,up,2
204,1515,1,s,up,1
204,679,1,s,up,1
204,797,2,s,up,1
204,1017,1,s,up,1
204,842,1,s,up,1
204,686,1,s,up,1
204,1128,2,s,up,1
204,3065,2,s,up,1
209,3100,2,h,in,1
209,1754,1,h,in,1
209,1702,1,h,in,1
209,1652,1,h,in,1
209,2165,2,h,in,1
209,1297,2,h,in,1
209,1350,1,h,in,1
209,1300,1,h,in,1
209,3277,1,l,in,2
209,1982,1,l,in,2
209,3055,2,l,in,2
209,1884,2,l,in,2
209,1434,2,l,in,2
209,1276,1,l,in,2
209,1276,2,l,in,2
209,2537,2,l,in,2
